Country Name,Country Code,Year,Water Access,GDP per capita,Healthcare Spending,Life Expectancy,CO2 Emissions
United Kingdom,GBR,2000,100.0,26535.5018554582,2020.96813965,77.7414634146342,9.635275
United Kingdom,GBR,2001,99.9999980893085,27912.5562179151,2074.59936523,77.9926829268293,9.748509
United Kingdom,GBR,2002,100.0,29089.0536770407,2364.04736328,78.1439024390244,9.40991
United Kingdom,GBR,2003,100.0,30313.6906668382,2773.99414063,78.4463414634146,9.555585
United Kingdom,GBR,2004,100.0,32051.1847283895,3361.65625,78.7463414634146,9.530167
United Kingdom,GBR,2005,99.9999990459371,32726.1331883772,3528.16162109,79.0487804878049,9.412128
United States,USA,2005,98.8969723453507,44123.3996470026,6428.60205078,77.4878048780488,20.71883
United Kingdom,GBR,2006,99.9999963913423,34727.4366712141,3802.56347656,79.2487804878049,9.301154
United States,USA,2006,98.9038126009011,46301.9876485519,6802.47509766,77.6878048780488,20.236742
United Kingdom,GBR,2007,99.9999991747697,35522.0090884345,4415.51220703,79.4487804878049,9.09334
United States,USA,2007,98.9106080907842,48050.227412195,7153.73144531,77.9878048780488,20.28047
United Kingdom,GBR,2008,100.0,36744.7913584035,4280.36083984,79.6,8.785364
United States,USA,2008,98.9173671062071,48570.0594269601,7364.93847656,78.0390243902439,19.409172
United Kingdom,GBR,2009,100.0,35041.5416305812,3813.02758789,80.0512195121951,7.9049363
United States,USA,2009,98.92408685212,47194.9500893872,7614.82421875,78.390243902439,17.81067
United Kingdom,GBR,2010,100.0,36483.5682802621,3876.33911133,80.4024390243902,8.124634
United States,USA,2010,99.0106474401103,48642.6312088213,7836.08837891,78.5414634146342,18.22542
United Kingdom,GBR,2011,100.0,37224.3787645256,4123.70019531,80.9512195121951,7.3959785
United States,USA,2011,99.0963699785745,50024.8812320773,8015.78076172,78.6414634146341,17.634142
United Kingdom,GBR,2012,99.9999990594779,38336.5961844419,4204.08300781,80.9048780487805,7.62153
United States,USA,2012,99.1811105889535,51708.3940614082,8262.29296875,78.7414634146342,16.812391
United Kingdom,GBR,2013,100.0,39947.5369562562,4340.16992188,81.0048780487805,7.4175463
United States,USA,2013,99.2648895869455,53297.3862901595,8412.25195313,78.7414634146342,17.09857
United Kingdom,GBR,2014,100.0,41266.8197795309,4733.37060547,81.3048780487805,6.764833
United States,USA,2014,99.3476415086967,55153.3940182967,8796.33886719,78.8414634146341,17.118917
United Kingdom,GBR,2015,100.0,42515.278865824,4470.09228516,80.9560975609756,6.461413
United States,USA,2015,99.4293350987693,56849.4697923159,9200.93164063,78.690243902439,16.461393
United Kingdom,GBR,2016,99.9999991226354,44085.2025586772,4043.35253906,81.1560975609756,6.061766
United States,USA,2016,99.509898178586,57976.628204291,9535.60058594,78.5390243902439,15.934658
United Kingdom,GBR,2017,99.9999980808565,46113.0211677324,3938.65234375,81.2560975609756,5.8378453
United States,USA,2017,99.5893429085867,60047.7190728307,9822.60644531,78.5390243902439,15.639208
United Kingdom,GBR,2018,99.9999994148157,47212.2045190522,4233.62988281,81.2560975609756,5.6886244
United States,USA,2018,99.6675822614626,62875.6661382728,10180.48242188,78.6390243902439,16.000992
United Kingdom,GBR,2019,100.0,50064.9605582187,4260.03222656,81.3691219512195,5.4350777
United States,USA,2019,99.7446316773149,65227.9565911035,10550.22070313,78.7878048780488,15.500492
United Kingdom,GBR,2020,100.0,48230.0477027461,4865.97802734,80.331756097561,4.84416
United States,USA,2020,99.8204204612721,64401.5074354209,11648.49511719,76.9804878048781,13.8168955
United Kingdom,GBR,2021,100.0,51004.4271714238,5645.40136719,80.6473170731707,5.059431
United States,USA,2021,99.894943997231,71307.4017277218,12080.07324219,76.3292682926829,14.758024
United Kingdom,GBR,2022,100.0,59021.5721805914,5111.81738281,81.0112195121951,4.563232
United States,USA,2022,99.9641146737575,77860.9112908848,12586.19628906,77.4341463414634,14.802047
United Kingdom,GBR,2023,100.0,59911.3467663209,5407.17041016,81.2380975609756,4.481841
United States,USA,2023,99.9804979047021,82304.6204272866,13473.19335938,78.3853658536585,14.31945
United Kingdom,GBR,2024,99.9999991412127,62009.4907765366,5860.23925781,81.3868536585366,4.5257993
